,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis
BALANCE,8950.0,1564.4748276781004,2081.5318794565546,0.0,128.2819155,873.385231,2054.1400355,19043.13856,2.393386042571807,7.674751299906255
BALANCE_FREQUENCY,8950.0,0.8772707255865921,0.23690400268476852,0.0,0.888889,1.0,1.0,1.0,-2.023265518514908,3.0923696215855996
PURCHASES,8950.0,1003.2048335195531,2136.634781872889,0.0,39.635,361.28,1110.13,49039.57,8.14426906455465,111.38877085829516
ONEOFF_PURCHASES,8950.0,592.4373709497206,1659.887917437811,0.0,0.0,38.0,577.405,40761.25,10.04508288470028,164.18757196835273
INSTALLMENTS_PURCHASES,8950.0,411.0676446927374,904.3381151753817,0.0,0.0,89.0,468.6375,22500.0,7.29911990874564,96.57517752820033
CASH_ADVANCE,8950.0,978.8711124654747,2097.163876643234,0.0,0.0,0.0,1113.8211392500002,47137.21176,5.1666090740747235,52.89943410771164
PURCHASES_FREQUENCY,8950.0,0.49035054837988834,0.40137074736904105,0.0,0.083333,0.5,0.916667,1.0,0.06016423585803503,-1.6386309477263874
ONEOFF_PURCHASES_FREQUENCY,8950.0,0.20245768357541902,0.2983360651847195,0.0,0.0,0.083333,0.3,1.0,1.5356127835248508,1.1618456013706107
PURCHASES_INSTALLMENTS_FREQUENCY,8950.0,0.3644373415642458,0.397447779745413,0.0,0.0,0.166667,0.75,1.0,0.5092011649999884,-1.3986321853836678
CASH_ADVANCE_FREQUENCY,8950.0,0.13514420033519553,0.20012138814749686,0.0,0.0,0.0,0.222222,1.5,1.8286862664778527,3.3347343281573654
CASH_ADVANCE_TRX,8950.0,3.2488268156424582,6.824646744165832,0.0,0.0,0.0,4.0,123.0,5.721298203192298,61.64686247548569
PURCHASES_TRX,8950.0,14.709832402234637,24.857649109884736,0.0,1.0,7.0,17.0,358.0,4.630655265932403,34.793100255181066
CREDIT_LIMIT,8949.0,4494.449450364621,3638.8157254984967,50.0,1600.0,3000.0,6500.0,30000.0,1.5224640052886198,2.836655931543172
PAYMENTS,8950.0,1733.1438520248046,2895.063756904574,0.0,383.276166,856.901546,1901.1343167500002,50721.48336,5.907619794397563,54.770735812137545
MINIMUM_PAYMENTS,8637.0,864.2065423050826,2372.446606583975,0.019163,169.123707,312.343947,825.485459,76406.20752,13.622796994677454,283.9899858723908
PRC_FULL_PAYMENT,8950.0,0.15371464849162012,0.29249919623387854,0.0,0.0,0.0,0.142857,1.0,1.9428199409718578,2.432395300581188
TENURE,8950.0,11.51731843575419,1.3383307693673285,6.0,12.0,12.0,12.0,12.0,-2.9430172876199143,7.694823185610918
